"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38"
"A28102_at" 6.94667546171438 8.8801473847643 6.6920189390151 8.79390272565791 9.68308695459063 9.27994652121954 5.98987996027955 4.32192809488736 7.94127932115344 6.12330461492604 6.62820568659943 9.05620986960565 8.6198820990521 6.13253355164539 7.44316167279295 7.53261225402838 8.99907280614754 7.12466551969716 9.06658492544958 8.00842862207058 6.00946032924907 8.38393161383919 5.42272873567485 7.93353536782643 7.3382085780369 7.70426770647055 8.58901044155826 8.33339077704758 9.17328263396547 5.56665495246269 7.88199942006681 8.43342072173022 7.37320859983106 8.92633501343021 8.50000319477314 9.04992018099105 8.36758718148239 7.60830346389841
"AB000115_at" 7.90957732648253 6.792533457513 7.54618369763332 7.34067001551571 8.05934446082443 8.34207466799914 6.80294144984715 7.42294999095339 7.13388578254473 6.88810233594197 7.96919715400712 8.17643563626598 10.2078973456754 8.15841037965011 7.11182204687874 7.97229964381708 10.8936807383909 6.93322474342198 7.58664229377385 7.94066133226376 8.10232108600125 6.49058701898568 7.29595014336892 7.17597625239301 7.54902464806573 7.25664322588082 7.92285821455713 7.6805908618143 8.69467862357919 6.13118005211756 8.27991598443661 6.18095603856661 7.58664229377385 7.37755303702749 7.89330153086056 7.97569715313723 8.42521590329939 9.95044078686985
"AB000381_s_at" 4.6316557361692 5.35384327496412 4.99881308504956 7.11099835571113 6.82554464053287 4.32192809488736 5.55862210854237 6.11948723780324 6.35477135157438 6.39276932412651 6.52706539548959 4.32192809488736 4.46545900149344 4.32192809488736 4.32192809488736 6.46244845776089 6.15401861053295 5.54526934561736 6.40983752182178 4.32192809488736 4.32192809488736 5.60304063753885 5.86288201345507 6.49753673483326 4.32192809488736 6.28003812769037 4.32192809488736 5.79851443456373 4.32192809488736 4.32192809488736 6.86516346999879 7.15880896924814 4.32192809488736 6.85650743710717 5.50821178492934 6.33726978181644 6.41362792902417 6.3852947903572
"AB000409_at" 4.32192809488736 4.32192809488736 7.84077792359505 6.45705681144939 4.32192809488736 7.84615017222832 4.32192809488736 7.1682102551347 5.11948723780324 6.3640194283764 5.01063852044635 6.61973733493716 4.32192809488736 6.86092360359657 4.32192809488736 8.2125923760813 6.34849521727394 6.41117645003008 4.32192809488736 4.32192809488736 6.72756224350217 4.32192809488736 6.85650743710717 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 7.48508780824238 4.32192809488736 8.52490251121094 4.32192809488736 6.43199236507483 4.32192809488736 6.06891967015889 8.48063078434313 4.32192809488736 4.32192809488736 4.32192809488736
"AB000449_at" 5.41251413676559 7.98299357469431 8.23903317294607 6.98688991767374 6.12792646297488 8.12071535377885 9.85429427420026 8.82663210966688 6.83039010877248 7.88055020342974 7.7048137337429 8.53035499655206 8.88203965531121 9.5747926777042 5.67651387889561 8.35047398362514 7.98501798924076 8.39604138247868 7.70435872536846 7.39299522172986 8.10866200695617 8.17597625239301 7.96304816428281 7.99628764387591 8.42117899789272 8.26740273471652 7.3417236330712 6.36953995185061 7.06012704562305 6.33209545431029 7.01841982839231 6.78135971352466 7.28199101467674 8.16682377831661 6.5956010211675 7.18200222790969 4.80803272100871 7.5810023142079
"AB000450_at" 7.27747094522603 7.83180725364101 7.45792083006536 7.59383337335696 8.98501798924076 6.69568618817046 7.81538329581354 7.66065275056915 7.40570131996393 8.31574544638393 7.71875817396003 7.05285401612539 7.04381876739035 8.00362886446834 4.32192809488736 7.42051431460941 6.55074678538324 4.59599353784545 6.95939191301422 7.74757467155618 7.49332878364855 5.42272873567485 7.67929488928106 6.00946032924907 6.63528852660861 6.62628542138729 6.96790879651887 8.3179480801037 8.28455017367518 6.61819227985948 6.99256571043321 6.55135410807834 5.23588826382067 6.33209545431029 7.46309410334825 8.301616524858 6.54912600718622 6.43616359308551
"AB000462_at" 6.77721204883492 4.32192809488736 7.59579729285557 5.8252098696668 4.32192809488736 9.05521106971547 8.508420312073 7.6787391159037 5.15614962279765 4.32192809488736 7.4134052393516 4.32192809488736 7.27783796537833 8.25782202508533 9.59179297721213 8.61616188071333 7.34102130687109 6.5893061868955 7.43922943069532 7.54384586741516 6.05385444860752 4.32192809488736 4.32192809488736 5.84615017222832 5.08410903491806 6.88681965522543 4.32192809488736 7.0561385496837 5.6724253419715 7.69769920878624 7.30594172975248 6.15561716475843 8.2512955289894 6.69897876101281 8.44980026916289 5.68170076958098 5.82085076454183 7.46266370506317
"AB000468_at" 8.38017622332594 7.9423601651368 9.0711800623814 8.2525409495095 7.71677434397686 6.28003812769037 9.80938736433912 10.1572471972595 8.53507069547683 8.32512789626512 9.94334380115929 9.48177288200959 8.9614496943982 10.2249219526167 10.7513017984663 9.02786963053782 4.32192809488736 8.34837873469014 4.32192809488736 7.93477719707538 8.12330461492604 7.08438881675563 9.46260989624826 8.16682377831661 11.2428137032778 9.47669291782002 8.28771237954945 6.53548002872993 4.32192809488736 8.90300971945184 8.00362886446834 9.07667497664613 8.64953982827831 9.59363683428699 4.32192809488736 7.06962642324258 6.67205308160538 8.11648076793625
"AB000584_at" 4.32192809488736 4.32192809488736 4.32192809488736 7.0217836076992 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 7.55479078253959 4.32192809488736 6.98524274893912 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 5.60147758750417 4.32192809488736 7.11401626029166 4.32192809488736 9.81963289274797 11.0263778334118 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 4.32192809488736 5.81479325372146
"AB002315_at" 7.01240400511402 7.78944784431965 7.42029268544531 5.93849628409536 7.04984854945056 7.49596019108453 7.87344411251538 7.15641577814217 6.99465117600776 7.79347496894921 7.82822001457892 4.32192809488736 7.71008137021336 7.99226754053634 4.32192809488736 6.82654848729092 7.44914864537544 6.99316186541727 4.32192809488736 8.30929683601086 7.85306327064918 5.27612440527424 8.28977623446406 4.73933649862895 8.62359274888553 7.18121765703516 4.32192809488736 7.08941563383046 6.3209786410585 8.13212763510131 7.19333081796254 7.97267754020735 7.7404021357875 8.63834063942937 9.2424219922957 6.49353947295756 8.13388578254473 7.01739451079128
